id,name,address,postcode,lat,long,accuracy,inspection,score,classification,telephone,type
,Gainsborough,14 Anlaby Road,HU1 2PA,53.7446914,-0.400914,RANGE_INTERPOLATED,20-Jan-09,70,C Acceptable,,
,Gala Bingo,Unit 50 St Stephen's Shopping Centre,HU2 8LN,53.7520129,-0.3453551,APPROXIMATE,01-May-08,80,B Good,,
,Gala Casino Dock Street,15-16 Dock Street,HU1 3DL,53.7303428,-0.3713175,RANGE_INTERPOLATED,29-Oct-08,90,A Excellent,,
,Gala Club,Oslo Road,HU7 0YN,53.7777504,-0.3367934,GEOMETRIC_CENTER,28-Apr-09,80,B Good,,
,Galaxy,987 Hedon Road,HU9 5QP,53.7480105,-0.2758598,RANGE_INTERPOLATED,18-Aug-09,55,D Poor,,
,Garbutts Cafe Bar,50-54 Princes Avenue,HU5 3QG,53.7546089,-0.3595764,RANGE_INTERPOLATED,28-Aug-08,85,B Good,,
,Gardeners Arms,35 Cottingham Road,HU5 2PP,53.7687018,-0.3597181,RANGE_INTERPOLATED,28-Apr-08,70,C Acceptable,,
,George Ashton Day Centre,Ashton Close,HU6 9RJ,53.7882126,-0.3779861,GEOMETRIC_CENTER,12-Jan-10,90,A Excellent,,
,Ghumans Off Licence & Grocers,201 Portobello Street,HU9 3NW,53.7627195,-0.2836886,RANGE_INTERPOLATED,19-Dec-07,85,B Good,,
,Giannis,2 Mollison Road,HU4 7HB,53.7298442,-0.4190154,RANGE_INTERPOLATED,17-Feb-10,75,B Good,,
,Giant Panda,73 Princes Avenue,HU5 3QX,53.7540278,-0.3599449,RANGE_INTERPOLATED,14-Jul-09,65,C Acceptable,,
,Gino's Fast Food,8 Anlaby Road,HU1 2PA,53.7446721,-0.4013909,RANGE_INTERPOLATED,26-Jan-10,65,C Acceptable,,
,Giuseppe's,660 Marfleet Lane,HU9 4TP,53.7675836,-0.2743753,RANGE_INTERPOLATED,27-May-09,75,B Good,,
,Glenton's Fishmongers,530 Hessle Road,HU3 5BQ,53.7337798,-0.3761252,RANGE_INTERPOLATED,17-Jun-08,70,C Acceptable,,
,Goat And Compass,107 Falkland Road,HU9 5EX,53.7531854,-0.2513644,RANGE_INTERPOLATED,23-Mar-09,90,A Excellent,,
,Godfather,803 Hotham Road South,HU5 5JX,53.7532911,-0.4166938,RANGE_INTERPOLATED,04-Nov-09,70,C Acceptable,,
,Golden Bengal Indian T/Away,165 Hessle Road,HU3 4AA,53.7364485,-0.3585352,RANGE_INTERPOLATED,17-Nov-09,70,C Acceptable,,
,Golden Bridge,747 Hessle Road,HU4 6PJ,53.7323943,-0.3873748,RANGE_INTERPOLATED,21-Jan-10,55,D Poor,,
,Golden Chippy,24-25 Caroline Street,HU2 8ED,53.7500259,-0.3373498,RANGE_INTERPOLATED,16-Dec-08,70,C Acceptable,,
,Golden Deep Down Diner,237-239 Holderness Road,HU8 8TB,53.7638075,-0.2949424,RANGE_INTERPOLATED,07-Apr-09,75,B Good,,
,Golden Dragon,Hedon Road,HU9 1NQ,53.7476416,-0.2715706,GEOMETRIC_CENTER,19-Jan-09,75,B Good,,
,Golden Dragon,57 Newland Avenue,HU5 3BG,53.7622172,-0.3588155,RANGE_INTERPOLATED,26-Mar-09,55,D Poor,,
,Golden Fry Fisheries,41-42 Savile Street,HU1 3EA,53.744264,-0.3390181,RANGE_INTERPOLATED,05-Jun-08,85,B Good,,
,Golden Grill,334 Holderness Road,HU9 3DQ,53.7565521,-0.3090924,RANGE_INTERPOLATED,26-Aug-09,60,C Acceptable,,
,Golden Star,810 Beverley Road,HU6 7HD,53.7795887,-0.3570569,RANGE_INTERPOLATED,16-Sep-09,95,A Excellent,,
,Golden Star,50 North Point Shopping Centre,HU7 4EE,53.7717431,-0.3223865,APPROXIMATE,28-Nov-09,70,C Acceptable,,
,Golden Town Chinese Takeaway,275 Hessle Road,HU3 4BE,53.7351104,-0.3644771,RANGE_INTERPOLATED,22-Oct-09,60,C Acceptable,,
,Golden Treasure,172 Hessle Road,HU3 3AD,53.7363982,-0.3588635,RANGE_INTERPOLATED,09-Feb-09,60,C Acceptable,,
,Golden Wok,230 Orchard Park Road,HU6 9BY,53.7870017,-0.3767101,RANGE_INTERPOLATED,15-Jul-09,75,B Good,,
,Good Chef,102 Boothferry Road,HU4 6ER,53.7414,-0.3921602,RANGE_INTERPOLATED,26-Oct-09,60,C Acceptable,,
,Goodfellowship Inn,Cottingham Road,HU5 4AT,53.7699095,-0.3804549,GEOMETRIC_CENTER,28-Sep-09,80,B Good,,
,Good-Fillas,58 King Edward Street,HU1 3SQ,53.7453888,-0.3414876,RANGE_INTERPOLATED,22-Jan-10,75,B Good,,
,Goodwin Cafe,Icehouse Road,HU3 2HQ,53.7418587,-0.3504064,GEOMETRIC_CENTER,28-Mar-08,85,B Good,,
,Goodwin Newsagency,14 Goodwin Parade,HU3 2HA,53.7407147,-0.3505605,GEOMETRIC_CENTER,29-Jan-04,70,C Acceptable,,
,Grabba-Bite,6 Woodhall Street,HU8 8DS,53.7618729,-0.3271917,RANGE_INTERPOLATED,17-Dec-09,65,C Acceptable,,
,Grafton Hotel,114-116 Grafton Street,HU5 2NP,53.7637859,-0.3578977,RANGE_INTERPOLATED,13-Jan-10,15,E Very Poor,,
,Grain Wholefoods,25 Newland Avenue,HU5 3BE,53.760655,-0.3590101,RANGE_INTERPOLATED,19-May-04,75,B Good,,
,Grampian fisheries,Grampian Way,HU7 5BJ,53.805485,-0.3291721,GEOMETRIC_CENTER,24-Jan-09,90,A Excellent,,
,Grange Hotel,36 Grange Road,HU9 4LQ,53.763438,-0.2582835,RANGE_INTERPOLATED,06-Oct-08,45,D Poor,,
,Grapevine,1040 Anlaby Road,HU4 7RA,53.7442844,-0.4089073,RANGE_INTERPOLATED,27-Jun-05,85,B Good,,
,Great Wall Chinese Takeaway,1 Newstead Street,HU5 3NG,53.7533374,-0.3681492,RANGE_INTERPOLATED,11-Feb-10,50,D Poor,,
,Green Bricks,9 Humber Dock Street,HU1 1TB,53.739445,-0.3362761,RANGE_INTERPOLATED,20-Aug-08,85,B Good,,
,Greencore Canteen,Amsterdam Road,HU7 0XF,53.7758847,-0.3226833,GEOMETRIC_CENTER,02-Feb-10,80,B Good,,
,Greenwood Hotel,280 Greenwood Avenue,HU6 9QG,53.7822777,-0.3776405,RANGE_INTERPOLATED,15-Jan-09,85,B Good,,
,Greggs,Unit 4 Paragon Interchange,HU1 3QX,53.7398408,-0.3340044,APPROXIMATE,06-Jul-09,80,B Good,,
,Greggs of Yorkshire,70 Prospect Centre,HU2 8PW,53.7520129,-0.3453551,APPROXIMATE,25-Apr-08,70,C Acceptable,,
,Greggs of Yorkshire,6A North Point Shopping Centre,HU7 4EE,53.78635,-0.32062,APPROXIMATE,10-Nov-08,85,B Good,,
,Greggs of Yorkshire,52 Whitefriargate,HU1 2HP,53.7430681,-0.3357637,RANGE_INTERPOLATED,12-Nov-08,80,B Good,,
,Greggs of Yorkshire,Unit 44a St Stephens,HU2 8LN,53.7461,-0.346,APPROXIMATE,30-Nov-08,90,A Excellent,,
,Greggs of Yorkshire,252 Holderness Road,HU9 2HX,53.7545019,-0.3123327,RANGE_INTERPOLATED,12-Feb-09,80,B Good,,
,Greggs of Yorkshire,54 Jameson Street,HU1 3LS,53.7448727,-0.3413367,RANGE_INTERPOLATED,13-Jul-09,85,B Good,,
,Greggs of Yorkshire,361 Hessle Road,HU3 4EJ,53.734443,-0.3687245,RANGE_INTERPOLATED,17-Jul-09,90,A Excellent,,
,Griffin Primary School,Barham Road,HU9 4JL,53.7694497,-0.2647276,GEOMETRIC_CENTER,12-Jul-07,95,A Excellent,,
,Grosik,178 Beverley Road,HU3 1UP,53.7714074,-0.3547423,RANGE_INTERPOLATED,06-Jan-10,60,C Acceptable,,
,Grosik,474 Beverley Road,HU5 1NE,53.7663667,-0.3530602,RANGE_INTERPOLATED,24-Feb-10,55,D Poor,,
,Grosik Polish Supermarket,129 Newland Avenue,HU5 2ES,53.7645077,-0.3586933,RANGE_INTERPOLATED,02-May-08,45,D Poor,,
,Grove House Cafe,Beverley Road,HU5 1NA,53.7625033,-0.3506376,GEOMETRIC_CENTER,21-Jul-09,80,B Good,,
,Guys,161 Albert Avenue,HU3 6PL,53.746812,-0.378239,GEOMETRIC_CENTER,18-Sep-08,90,A Excellent,,
,Gvants,694 Beverley Road,HU6 7JG,53.7749515,-0.355958,RANGE_INTERPOLATED,27-Nov-09,95,A Excellent,,
,H & A Food Centre,68-70 Beverley Road,HU3 1YD,53.7517271,-0.3477572,RANGE_INTERPOLATED,21-Jan-09,45,D Poor,,
,Haagensons,49 Princes Avenue,HU5 3RX,53.7526109,-0.3606821,RANGE_INTERPOLATED,07-Jan-09,65,C Acceptable,,
,Habibi,62A Beverley Road,HU3 1YE,53.7513768,-0.3476884,RANGE_INTERPOLATED,29-Apr-09,70,C Acceptable,,
,Hadley Place Residential Home,301-303 Anlaby Road,HU3 2SB,53.7437642,-0.3768011,RANGE_INTERPOLATED,21-Nov-09,95,A Excellent,,
,Halfway Cafe,390 Hessle Road,HU3 3SD,53.734431,-0.3690947,RANGE_INTERPOLATED,07-Jul-09,75,B Good,,
,Halfway House,595 Spring Bank West,HU3 6LD,53.7505334,-0.3783674,RANGE_INTERPOLATED,13-Mar-09,80,B Good,,
,Hall Road Primary School,Hall Road,HU6 8PP,53.788151,-0.37414,GEOMETRIC_CENTER,03-Oct-08,75,B Good,,
,Hamshaw Court Residential Home,Wellsted Street,HU3 3AG,53.7377359,-0.3608286,GEOMETRIC_CENTER,10-Jan-09,90,A Excellent,,
,Hanson Fisheries,60 New Bridge Road,HU9 2RE,53.7526547,-0.3078884,RANGE_INTERPOLATED,13-Feb-09,75,B Good,,
,Happy Chef,197 Wold Road,HU5 5PH,53.757273,-0.4100289,RANGE_INTERPOLATED,02-Nov-09,75,B Good,,
,Happy Days,727 Hessle Road,HU4 6PJ,53.732642,-0.3862492,RANGE_INTERPOLATED,26-Oct-09,70,C Acceptable,,
,Happy House,966 Anlaby Road,HU4 6AH,53.7445352,-0.4042227,RANGE_INTERPOLATED,10-Jun-09,70,C Acceptable,,
,Happy Kidz,689 Holderness Road,HU8 9AN,53.7651086,-0.2917608,RANGE_INTERPOLATED,08-Jan-10,95,A Excellent,,
,Happy Kidz Nursery,1 James Reckitt Avenue,HU8 0JD,53.7586363,-0.321328,RANGE_INTERPOLATED,11-Jan-10,90,A Excellent,,
,Harbour Public House Ltd,99-103 Beverley Road,HU3 1XR,53.7604975,-0.3495954,RANGE_INTERPOLATED,08-Dec-08,60,C Acceptable,,
,Hartleys Newsagents,434 Hessle Road,HU3 3SE,53.7342365,-0.3710841,RANGE_INTERPOLATED,06-May-08,70,C Acceptable,,
,Hartoft News & Convenience,62 Hartoft Road,HU5 4LJ,53.7625401,-0.3904486,RANGE_INTERPOLATED,13-Dec-08,85,B Good,,
,Harveys,25-27 Spring Bank,HU3 1AF,53.7505588,-0.3774668,RANGE_INTERPOLATED,03-Mar-09,60,C Acceptable,,
,Hastings Hotel,925 Spring Bank West,HU5 5BE,53.7500275,-0.3930226,RANGE_INTERPOLATED,01-Dec-08,70,C Acceptable,,
,Haven Day Nursery,529 Anlaby Road,HU3 6EP,53.7436671,-0.3794197,RANGE_INTERPOLATED,01-Dec-09,85,B Good,,
,Haworth Arms,449 Beverley Road,HU6 7LD,53.7716978,-0.3548683,RANGE_INTERPOLATED,07-Oct-08,70,C Acceptable,,
,Haworth Court Resid Home,Emmott Road,HU6 7AB,53.785101,-0.359762,GEOMETRIC_CENTER,24-Aug-09,75,B Good,,
,Haworth Takeaway,50 Cottingham Road,HU6 7RA,53.7687074,-0.3598217,RANGE_INTERPOLATED,11-Dec-08,70,C Acceptable,,
,Hawthorn Hotel,218 Hawthorn Avenue,HU3 5LL,53.7384672,-0.3808413,RANGE_INTERPOLATED,17-Dec-08,85,B Good,,
,Hawthorn News & Mini Market,73 Hawthorn Avenue,HU3 5PA,53.7419024,-0.382746,RANGE_INTERPOLATED,15-Feb-10,60,C Acceptable,,
,Health Rack,Princes Quay,HU1 2PQ,53.7550013,-0.3593619,GEOMETRIC_CENTER,16-Sep-08,90,A Excellent,,
,Healthy Option,Nothpoint Indoor Market,HU7 4EE,53.7717431,-0.3223865,APPROXIMATE,15-Jan-10,90,A Excellent,,
,Healthy Options,North Point Shopping Centre,HU7 4EE,53.78635,-0.32062,APPROXIMATE,19-Jan-08,85,B Good,,
,Henry's Cafe,266-290 Wincolmlee,HU2 0PZ,53.753991,-0.3301122,RANGE_INTERPOLATED,31-Mar-09,75,B Good,,
,Herbys,Princes Quay,HU1 2PQ,53.7550013,-0.3593619,GEOMETRIC_CENTER,09-Jun-08,80,B Good,,
,Herbys,317 Holderness Road,HU8 8SH,53.7638374,-0.2948665,RANGE_INTERPOLATED,15-Aug-09,75,B Good,,
,Herby's,75 Ferensway,HU2 8LD,53.7460877,-0.3456622,RANGE_INTERPOLATED,10-Jun-08,75,B Good,,
,Heron Frozen Foods Ltd,306-308 Marfleet Lane,HU9 5AQ,53.7678923,-0.2764933,RANGE_INTERPOLATED,04-Mar-04,80,B Good,,
,Heron Frozen Foods Ltd,229 Ellerburn Avenue,HU6 9RR,53.7887236,-0.3778969,RANGE_INTERPOLATED,18-Jul-06,80,B Good,,
,Heron Frozen Foods Ltd,North Point Shopping Centre,HU7 4DF,53.78635,-0.32062,APPROXIMATE,11-Feb-08,75,B Good,,
,Heron Frozen Foods Ltd,58-60 Newland Avenue,HU5 3AE,53.7619544,-0.3587992,RANGE_INTERPOLATED,16-Feb-08,75,B Good,,
,Heron Frozen Foods Ltd,793 Hotham Road South,HU5 5JX,53.7538461,-0.4156847,RANGE_INTERPOLATED,18-Sep-08,75,B Good,,
,Heron Frozen Foods Ltd,78 Chanterlands Avenue,HU5 3TS,53.7539361,-0.3736291,RANGE_INTERPOLATED,24-Sep-08,65,C Acceptable,,
,Heron Frozen Foods Ltd,437 Endike Lane,HU6 8AG,53.7783611,-0.3788806,RANGE_INTERPOLATED,26-Nov-08,75,B Good,,
,Heron Frozen Foods Ltd,288-290 Hessle Road,HU3 3EA,53.7350076,-0.3650487,RANGE_INTERPOLATED,07-Feb-09,70,C Acceptable,,
,Heron Frozen Foods Ltd,16 South Street,HU1 3QG,53.7439906,-0.3431862,RANGE_INTERPOLATED,17-Feb-09,70,C Acceptable,,
,Heron Frozen Foods Ltd,66 Greenwich Avenue,HU9 4UY,53.7713722,-0.2649691,RANGE_INTERPOLATED,03-Mar-09,80,B Good,,
,Heron Frozen Foods Ltd,761 Hessle Road,HU4 6PJ,53.7322515,-0.3880442,RANGE_INTERPOLATED,12-Mar-09,75,B Good,,
,Heron Frozen Foods Ltd,280-284 Holderness Road,HU9 2JX,53.7548106,-0.3119196,RANGE_INTERPOLATED,08-Sep-09,85,B Good,,
,Heron Frozen foods Ltd,5 Ings Centre,HU8 0TX,53.771809,-0.2967792,APPROXIMATE,09-Sep-09,90,A Excellent,,
,Heron Frozen Foods Ltd,491-493 Anlaby Road,HU3 6DT,53.7437551,-0.3758997,RANGE_INTERPOLATED,09-Sep-09,80,B Good,,
,Heron Frozen Foods Ltd,Unit 1 Grampian Way,HU7 5BJ,53.805485,-0.3291721,GEOMETRIC_CENTER,13-Oct-09,85,B Good,,
,Heron Frozen Foods Ltd,8-10 Elmbridge Parade,HU9 4JU,53.7569102,-0.2551167,RANGE_INTERPOLATED,13-Jan-10,80,B Good,,
,Hessle Pizza,162 Hessle Road,HU3 3AD,53.736488,-0.3584707,RANGE_INTERPOLATED,29-Jun-09,85,B Good,,
,Highfield House,Wawne Road,HU7 4JH,53.7900924,-0.3192326,GEOMETRIC_CENTER,20-Oct-08,90,A Excellent,,
,Highland Laddie,40-42 Southcoates Lane,HU9 3AD,53.7573923,-0.3045678,RANGE_INTERPOLATED,10-Feb-10,75,B Good,,
,Highlands Primary School.,Lothian Way,HU7 5DD,53.805278,-0.327296,GEOMETRIC_CENTER,18-Sep-08,85,B Good,,
,Hing Hua,1135 Hessle Road,HU4 6SB,53.7284746,-0.4044986,RANGE_INTERPOLATED,17-Feb-09,60,C Acceptable,,
,Hing Long Hong,59 Spring Bank,HU3 1AG,53.7505588,-0.3774668,RANGE_INTERPOLATED,14-Jul-09,50,D Poor,,
,Hitchcock's Vegetarian Restaurant,1 Bishop Lane,HU1 1PA,53.7430832,-0.3314269,RANGE_INTERPOLATED,27-Feb-09,70,C Acceptable,,
,Hock Palace,132 Newland Avenue,HU5 2NN,53.7642466,-0.3586774,RANGE_INTERPOLATED,08-Jul-08,70,C Acceptable,,
,Hoe-Richardson,212 Willerby Road,HU5 5JW,53.7526408,-0.4072702,RANGE_INTERPOLATED,20-Jan-10,55,D Poor,,
,Holderness Hotel,55 Witham,HU9 1BL,53.7484407,-0.3229374,RANGE_INTERPOLATED,06-Jun-02,80,B Good,,
,Holderness House,373 Holderness Road,HU8 8QX,53.7638583,-0.2948134,RANGE_INTERPOLATED,16-Jun-08,90,A Excellent,,
,Holderness News,40 Holderness Road,HU9 1EF,53.7489535,-0.3210932,RANGE_INTERPOLATED,15-Jan-10,85,B Good,,
,Hole in the Wall,115 Spring Bank,HU3 1BH,53.7505588,-0.3774668,RANGE_INTERPOLATED,13-Jan-10,75,B Good,,
,Holiday Inn,Castle Street,HU1 2BX,53.7409067,-0.3389669,GEOMETRIC_CENTER,22-Apr-08,85,B Good,,
,Holland And Barrett,21 Whitefriargate,HU1 2EX,53.7431392,-0.3362969,RANGE_INTERPOLATED,29-Oct-08,80,B Good,,
,Holland And Barrett,9-11 Jameson Street,HU1 3HR,53.7452835,-0.3392333,RANGE_INTERPOLATED,16-Dec-08,95,A Excellent,,
,Holly M's,21 Spring Bank,HU3 1AF,53.7505588,-0.3774668,RANGE_INTERPOLATED,23-Jun-09,80,B Good,,
,Hollybrook Guest House,651 Beverley Road,HU6 7JJ,53.7718896,-0.3549515,RANGE_INTERPOLATED,02-Sep-08,80,B Good,,
,Hollywood Bowl,Gibraltar Road,HU7 3YY,53.7922815,-0.3521841,GEOMETRIC_CENTER,18-Aug-09,85,B Good,,
,Holy Apostles Church,Walker Street,HU3 2HD,53.7386396,-0.3539607,GEOMETRIC_CENTER,25-Feb-04,70,C Acceptable,,
,Holy Name R.C.Primary,Dane Park Road,HU6 9AA,53.788421,-0.391511,GEOMETRIC_CENTER,18-May-06,95,A Excellent,,
,Home Bake,476 Beverley Road,HU5 1NE,53.7664213,-0.353091,RANGE_INTERPOLATED,31-Jul-09,70,C Acceptable,,
,Homefield Bed & Breakfast,Wawne Road,HU7 4JH,53.7900924,-0.3192326,GEOMETRIC_CENTER,10-Sep-08,70,C Acceptable,,
,Homeless & Rootless,St. Peter Street,HU9 1AF,53.7448662,-0.325852,GEOMETRIC_CENTER,18-Jul-08,65,C Acceptable,,
,Hon's,436 Marfleet Lane,HU9 3NA,53.7677318,-0.2754506,RANGE_INTERPOLATED,20-Aug-09,70,C Acceptable,,
,Hop & Vine,24 Albion Street,HU1 3TG,53.746804,-0.34096,RANGE_INTERPOLATED,16-Dec-09,45,D Poor,,
,Hostel,41 Queens Road,HU5 2QP,53.7600061,-0.3572201,RANGE_INTERPOLATED,09-Jul-09,85,B Good,,
,Hot N Tasty,19f Bergen Way,HU7 0YQ,53.7789888,-0.3451175,GEOMETRIC_CENTER,13-Dec-08,75,B Good,,
,Hot Stuff,174 Hessle Road,HU3 3AD,53.7363792,-0.3589468,RANGE_INTERPOLATED,10-Jun-08,70,C Acceptable,,
,Hotel Ibis,Ferensway,HU1 2NL,53.7420734,-0.3442805,GEOMETRIC_CENTER,27-Nov-08,90,A Excellent,,
,Hotham Newsagency,795 Hotham Road South,HU5 5JX,53.7537351,-0.4158865,RANGE_INTERPOLATED,18-Sep-08,85,B Good,,
,Huckleberry's,Queens Gardens,HU1 3DQ,53.7449199,-0.3360661,APPROXIMATE,28-Feb-09,75,B Good,,
,Hull & East Riding Sports Club,Chanterlands Avenue,HU5 4EF,53.7633561,-0.3723818,GEOMETRIC_CENTER,08-Dec-08,75,B Good,,
,Hull Bowl,Oslo Road,HU7 0YN,53.7777504,-0.3367934,GEOMETRIC_CENTER,03-Oct-08,85,B Good,,
,Hull Catering,Alfred Gelder Street,HU1 2AA,53.7443866,-0.33214,GEOMETRIC_CENTER,19-Sep-08,80,B Good,,
,Hull Cheese,39-41 Paragon Street,HU1 3PE,53.7440346,-0.3417023,RANGE_INTERPOLATED,27-Aug-08,75,B Good,,
,Hull City Hall,Queen Victoria Square,HU1 3EB,53.74363,-0.34005,APPROXIMATE,14-May-08,70,C Acceptable,,
,Hull City Ideal Standard Centre of Excellence,County Road North,HU5 4AB,53.760454,-0.3862108,GEOMETRIC_CENTER,24-Oct-08,80,B Good,,
,Hull College of Further Ed,Park Street,HU2 8RR,53.7466549,-0.3522516,GEOMETRIC_CENTER,29-Apr-08,85,B Good,,
,Hull College Of Further Ed.,Wilberforce Drive,HU1 3DG,53.7448326,-0.3326136,GEOMETRIC_CENTER,28-Apr-08,85,B Good,,
,Hull Combined Court Restaurant,Lowgate,HU1 2EZ,53.7434944,-0.3327032,GEOMETRIC_CENTER,20-Nov-08,85,B Good,,
,Hull Council for Disabled Peop,35 Ferensway,HU2 8NA,53.7474127,-0.3464929,RANGE_INTERPOLATED,25-Nov-09,75,B Good,,
,Hull Daily Mail - Staff Restaurant,Beverley Road,HU3 1XH,53.7533415,-0.3480822,GEOMETRIC_CENTER,21-Jan-10,90,A Excellent,,
,Hull Golf Centre,National Avenue,HU5 4JB,53.7589634,-0.3828073,GEOMETRIC_CENTER,24-Nov-08,75,B Good,,
,Hull Indoor Bowling Centre,8 Wheeler Street,HU3 5QE,53.7432854,-0.3848374,RANGE_INTERPOLATED,27-Jul-09,70,C Acceptable,,
,Hull Indoor Sports Centre,Harpings Road,HU5 4JF,53.755805,-0.379849,GEOMETRIC_CENTER,07-Jan-10,80,B Good,,
,Hull Jewish Comm Care Res Home,333-337 Anlaby Road,HU3 2SA,53.7437652,-0.3767482,RANGE_INTERPOLATED,22-Oct-08,90,A Excellent,,
,Hull Kingston Rovers,Preston Road,HU9 5HE,53.757562,-0.27827,GEOMETRIC_CENTER,16-Aug-09,90,A Excellent,,
,Hull New Theatre,Kingston Square,HU1 3HF,53.7474396,-0.3377928,GEOMETRIC_CENTER,28-Apr-08,75,B Good,,
,Hull Pizza,35 Chanterlands Avenue,HU5 3SS,53.7528763,-0.3734964,RANGE_INTERPOLATED,19-Oct-09,75,B Good,,
,Hull Prison - Catering,Hedon Road,HU9 5LS,53.7476416,-0.2715706,GEOMETRIC_CENTER,05-Jun-09,80,B Good,,
,Hull R U F C,Emmott Road,HU6 7AB,53.785101,-0.359762,GEOMETRIC_CENTER,10-Mar-05,85,B Good,,
,Hull Resettlement Project Ltd,20 Bourne Street,HU2 8AE,53.7476801,-0.3333372,RANGE_INTERPOLATED,21-Apr-09,70,C Acceptable,,
,Hull Royal Infirm.Patient Meal,Anlaby Road,HU3 2JZ,53.7431702,-0.3578792,GEOMETRIC_CENTER,29-Apr-09,95,A Excellent,,
,Hull Sea Cadet Corps,118 Argyle Street,HU3 1EX,53.7470844,-0.3592805,RANGE_INTERPOLATED,13-Oct-08,85,B Good,,
,Hull Trains Company Limited,Ferensway,HU1 3QX,53.7420734,-0.3442805,GEOMETRIC_CENTER,12-Mar-09,85,B Good,,
,Hull Truck Theatre,50 Ferensway,HU2 8LB,53.7455854,-0.3455565,RANGE_INTERPOLATED,25-Jun-09,75,B Good,,
,Humber Social Club,147-149 Holderness Road,HU8 8SR,53.7526437,-0.3151813,RANGE_INTERPOLATED,25-Apr-07,85,B Good,,
,Humber St Andrews Rec Club,507 Anlaby Road,HU3 6EN,53.7437232,-0.3774077,RANGE_INTERPOLATED,19-Sep-08,80,B Good,,
,Humberside Fire & Rescue Service,Clough Road,HU6 7PL,53.7679818,-0.344464,GEOMETRIC_CENTER,24-Mar-05,75,B Good,,
,Humberside Fire & Rescue Service,Noddle Hill Way,HU7 4FG,53.793175,-0.314858,GEOMETRIC_CENTER,12-May-05,75,B Good,,
,Humberside Fire & Rescue Service,Worship Street,HU2 8BG,53.7478813,-0.3366797,GEOMETRIC_CENTER,05-Dec-07,95,A Excellent,,
,Humberside Fire & Rescue Service HQ,Summergroves Way,HU4 7BB,53.7256146,-0.415282,GEOMETRIC_CENTER,23-May-08,75,B Good,,
,Humberside Fire & Rescue Service Support Catering Trailer,Summergroves Way,HU4 7BB,53.7256146,-0.415282,GEOMETRIC_CENTER,06-Oct-08,90,A Excellent,,
,Humberside Fire & Rescue Services,West Hull Fire Station,HU4 6BN,53.7335631,-0.3923245,APPROXIMATE,28-Apr-08,70,C Acceptable,,
,Humberside Fire & Rescue Services,East Hull Fire Station,HU9 3TN,53.7664721,-0.25834,APPROXIMATE,01-May-08,85,B Good,,
,Humberside Offshore Training,Albert Dock,HU1 2DH,53.7398408,-0.3340044,APPROXIMATE,29-Jun-05,85,B Good,,
,Humberside Offshore Training,Malmo Road,HU7 0YF,53.7772795,-0.3452789,GEOMETRIC_CENTER,11-Jul-08,85,B Good,,
,Humberside Police Headquarters,Queens Gardens,HU1 3DJ,53.7449199,-0.3360661,APPROXIMATE,28-Apr-08,85,B Good,,
,Humberside Police Sports Club,Inglemire Lane,HU6 7TN,53.7756165,-0.381158,GEOMETRIC_CENTER,26-Nov-08,85,B Good,,
,Hungry House,467 Endike Lane,HU6 8AG,53.7784161,-0.3807719,RANGE_INTERPOLATED,16-Sep-09,50,D Poor,,
,Hustlers Pool Hall,70-80 Prospect Street,HU2 8PH,53.747158,-0.3445621,GEOMETRIC_CENTER,13-Dec-08,60,C Acceptable,,
,Hymers College,Hymers Avenue,HU3 1LW,53.7506496,-0.3632368,GEOMETRIC_CENTER,24-Jun-09,95,A Excellent,,
,I C Creams,31/33 Arthur Street,HU3 6BH,53.7419126,-0.3733514,RANGE_INTERPOLATED,10-Sep-04,85,B Good,,
,Iceland Frozen Foods PLC,185-201 Spring Bank,HU3 1LP,53.7514752,-0.3626487,RANGE_INTERPOLATED,13-Nov-08,80,B Good,,
,Iceland Frozen Foods PLC,7C North Point Shopping Centre,HU7 4EE,53.78635,-0.32062,APPROXIMATE,06-Oct-09,80,B Good,,
,Iceland Frozen Foods PLC,324 Holderness Road,HU9 3DA,53.7562006,-0.3096413,RANGE_INTERPOLATED,21-Oct-09,90,A Excellent,,
,Ideal Standard,National Avenue,HU5 4HS,53.7589634,-0.3828073,GEOMETRIC_CENTER,24-Oct-06,70,C Acceptable,,
,Iggy's Take Away,228 Beverley Road,HU5 1AH,53.7602761,-0.3494897,RANGE_INTERPOLATED,25-Jun-09,70,C Acceptable,,
,Indian & Continental Stores Ltd,69 Princes Avenue,HU5 3QX,53.7538706,-0.3600342,RANGE_INTERPOLATED,15-Jan-10,60,C Acceptable,,
,Indian Continental Stores,173 Newland Avenue,HU5 2EP,53.7658203,-0.3585949,RANGE_INTERPOLATED,29-Oct-08,75,B Good,,
,Indian Spice,455 Holderness Road,HU8 8JT,53.76297,-0.297033,RANGE_INTERPOLATED,25-Jan-10,75,B Good,,
,Indus Tandoori,137 Newland Avenue,HU5 2ES,53.7647423,-0.3586712,RANGE_INTERPOLATED,26-Jan-10,60,C Acceptable,,
,Ings Primary School,Ings Road,HU8 0SL,53.7712991,-0.2970094,GEOMETRIC_CENTER,11-Sep-08,95,A Excellent,,
,Inkerman Tavern,27 Alfred Street,HU3 2DF,53.7366549,-0.3514169,RANGE_INTERPOLATED,23-Jun-03,85,B Good,,
,International Food Store,200-202 Spring Bank,HU3 1NP,53.7514752,-0.3626487,RANGE_INTERPOLATED,21-Feb-09,60,C Acceptable,,
