id,name,address,postcode,lat,long,accuracy,inspection,score,classification,telephone,type
,Crawshaw Butchers Ltd,39 Whitefriargate,HU1 2EX,53.743415,-0.337001,,26-Jan-10,80,B Good,,
,Crazy Kids,44 Southcoates Lane,HU9 3AE,53.7474888,-0.3099789,RANGE_INTERPOLATED,12-Aug-09,75,B Good,,
,Creative Catering,2 Unit Factory Estate,HU3 5JB,53.752253,-0.3136141,GEOMETRIC_CENTER,05-Jan-10,90,A Excellent,,
,Crisp n Fry,129A Spring Bank,HU3 1BL,53.78635,-0.32062,APPROXIMATE,09-Feb-08,75,B Good,,
,Criterion Hotel,222 Hessle Road,HU3 3DB,53.7432905,-0.3372356,RANGE_INTERPOLATED,07-Oct-08,65,C Acceptable,,
,Crooked Billet,2 Ings Road,HU8 0SA,53.7573775,-0.3043562,RANGE_INTERPOLATED,14-Jul-05,85,B Good,,
,Cross Keys Hotel,Endike Lane,HU6 7UP,53.7327611,-0.3624621,GEOMETRIC_CENTER,15-Sep-08,75,B Good,,
,Crown Hotel,Marfleet Lane,HU9 5TF,53.7514752,-0.3626487,RANGE_INTERPOLATED,08-Mar-04,70,C Acceptable,,
,Crown Paints,Sculcoates Lane,HU5 1RU,53.7358732,-0.3612116,RANGE_INTERPOLATED,06-Feb-08,85,B Good,,
,Crows Nest,1 Douglas Road,HU8 9QP,53.7667742,-0.2889378,RANGE_INTERPOLATED,25-Nov-02,80,B Good,,
,Crystal Kebabs,44 Holderness Road,HU9 1EF,53.7783907,-0.3761038,GEOMETRIC_CENTER,15-Aug-08,80,B Good,,
,Cuckoos,24 Princes Dock Street,HU1 2LG,53.7551535,-0.273916,GEOMETRIC_CENTER,08-Sep-08,90,A Excellent,,
,D & F Kitchen,552 Holderness Road,HU9 3ES,53.7619431,-0.3444837,GEOMETRIC_CENTER,26-Nov-09,55,D Poor,,
,D & S Specks,242-244 Wold Road,HU5 5XG,53.776642,-0.2672525,RANGE_INTERPOLATED,23-Sep-08,75,B Good,,
,Da Gianni,48 Princes Avenue,HU5 3QG,53.7490745,-0.3208549,RANGE_INTERPOLATED,03-Mar-09,80,B Good,,
,Dairycoates Inn,580 Hessle Road,HU3 5JA,53.743088,-0.3377825,RANGE_INTERPOLATED,23-Oct-08,70,C Acceptable,,
,Dales Fitness Centre,Snowdon Way,HU7 5DS,53.811385,-0.326889,,22-Sep-08,75,B Good,,
,Dante Restaurant,62 Chanterlands Avenue,HU5 3TT,53.7615224,-0.3001723,RANGE_INTERPOLATED,08-Jun-09,80,B Good,,
,Dardanelle's,64 Beverley Road,HU3 1YE,53.756711,-0.408971,RANGE_INTERPOLATED,10-Feb-09,70,C Acceptable,,
